index,accuracy,latitude,longitude,timestamp,tdiff,geodist,location,day,week,month,year,visit_time
0,28,19.0332048,72.8389898,2018-01-03 11:12:44.470,406,53,"(19.0332048, 72.838989799999993)",2,1,1,2018,876
1,25,19.033091,72.838848,2018-01-03 11:48:32.737,1271,20,"(19.033090999999999, 72.838847999999999)",2,1,1,2018,1197
2,20,19.0551184,72.8520868,2018-01-03 12:45:27.283,145,74,"(19.055118400000001, 72.852086799999995)",2,1,1,2018,1571
3,20,19.0551184,72.8520868,2018-01-03 14:45:06.261,5604,0,"(19.055118400000001, 72.852086799999995)",2,1,1,2018,5716
4,27,19.1365367,72.8315405,2018-01-06 11:34:30.178,29,102,"(19.136536700000001, 72.831540500000003)",5,1,1,2018,407
5,5,19.0987264,72.8459972,2018-01-10 09:03:26.000,15,66,"(19.0987264, 72.845997199999999)",2,2,1,2018,2849
6,24,19.097369,72.8500018,2018-01-10 09:51:56.578,58,80,"(19.097369, 72.850001800000001)",2,2,1,2018,803
7,50,19.054599,72.852072,2018-01-10 10:25:34.945,405,63,"(19.054599, 72.852072000000007)",2,2,1,2018,9039
8,26,19.05454,72.8525063,2018-01-10 14:10:53.768,141,84,"(19.054539999999999, 72.852506300000002)",2,2,1,2018,5083
9,35,19.0547683,72.8520291,2018-01-10 20:37:02.385,18073,28,"(19.054768299999999, 72.852029099999996)",2,2,1,2018,13675
10,24,19.0549294,72.8521892,2018-01-11 01:52:40.379,1801,31,"(19.054929399999999, 72.852189199999998)",3,2,1,2018,2968
11,29,19.0768199,72.834551,2018-01-13 11:00:13.591,57,68,"(19.0768199, 72.834551000000005)",5,2,1,2018,6412
12,25,19.0547944,72.8522412,2018-01-13 14:37:25.439,5285,1518,"(19.054794399999999, 72.852241199999995)",5,2,1,2018,981
13,45,19.0547586,72.8520284,2018-01-13 18:11:51.482,11624,33,"(19.0547586, 72.852028399999995)",5,2,1,2018,2500
14,50,19.0548479,72.8519756,2018-01-13 19:50:05.668,3392,8,"(19.054847899999999, 72.851975600000003)",5,2,1,2018,369
15,30,19.0547809,72.8520993,2018-01-14 02:42:57.537,1250,13,"(19.054780900000001, 72.852099300000006)",6,2,1,2018,467
16,20,19.0551138,72.8520897,2018-01-14 06:57:15.414,14789,27,"(19.055113800000001, 72.852089699999993)",6,2,1,2018,3096
17,25,19.0547497,72.8522135,2018-01-14 08:53:35.153,2252,3,"(19.054749699999999, 72.852213500000005)",6,2,1,2018,647
18,24,19.1072651,72.8369048,2018-01-16 01:35:01.035,58,175,"(19.107265099999999, 72.836904799999999)",1,3,1,2018,23983
19,27,19.0545562,72.8523365,2018-01-16 09:01:23.433,17,58,"(19.0545562, 72.852336500000007)",1,3,1,2018,2368
20,48,19.0549791,72.8521896,2018-01-16 11:26:26.978,6331,9,"(19.054979100000001, 72.852189600000003)",1,3,1,2018,1582
21,24,19.0545701,72.8522511,2018-01-16 14:27:45.306,63,53,"(19.054570099999999, 72.852251100000004)",1,3,1,2018,598
22,24,19.0545993,72.8522808,2018-01-16 16:15:08.077,5843,16,"(19.0545993, 72.852280800000003)",1,3,1,2018,874
23,26,19.0546109,72.8522526,2018-01-17 01:28:50.606,32347,2,"(19.0546109, 72.8522526)",2,3,1,2018,622
24,25,19.05472,72.8522452,2018-01-17 03:19:16.826,3086,8,"(19.05472, 72.852245199999999)",2,3,1,2018,1007
25,20,19.1071809,72.8372098,2018-01-17 05:01:40.683,3600,55,"(19.107180899999999, 72.837209799999997)",2,3,1,2018,20752
26,26,19.054605,72.8522765,2018-01-17 11:12:52.153,64,144,"(19.054604999999999, 72.852276500000002)",2,3,1,2018,2800
27,33,19.0548579,72.8520924,2018-01-17 12:21:18.470,1294,14,"(19.054857899999998, 72.852092400000004)",2,3,1,2018,503
28,20,19.0551138,72.8520897,2018-01-17 12:56:43.523,1620,43,"(19.055113800000001, 72.852089699999993)",2,3,1,2018,10211
29,27,19.0547168,72.8522461,2018-01-17 16:10:15.397,1375,1,"(19.054716800000001, 72.852246100000002)",2,3,1,2018,6522
30,23,19.0551077,72.8520865,2018-01-17 18:22:10.816,1371,1,"(19.055107700000001, 72.852086499999999)",2,3,1,2018,1978
31,30,19.0548581,72.8520917,2018-01-18 01:12:27.384,1203,7,"(19.054858100000001, 72.852091700000003)",3,3,1,2018,1037
32,44,19.054752,72.8517027,2018-01-18 02:20:08.881,3023,47,"(19.054752000000001, 72.851702700000004)",3,3,1,2018,634
