index,accuracy,latitude,longitude,timestamp,tdiff,geodist,location,day,week,month,year,visit_time
0,24,19.1077314,72.8395022,2018-01-02 08:57:52.707,0,0,"(19.107731399999999, 72.839502199999998)",1,1,1,2018,862
1,27,19.0761517,72.8380659,2018-01-02 09:46:02.766,60,235,"(19.0761517, 72.838065900000004)",1,1,1,2018,4472
2,25,19.0765187,72.8621729,2018-01-02 11:14:26.272,199,740,"(19.076518700000001, 72.862172900000004)",1,1,1,2018,1910
3,27,19.0769416,72.8623946,2018-01-02 11:58:51.500,59,57,"(19.076941600000001, 72.862394600000002)",1,1,1,2018,8335
4,50,19.0765044,72.8623519,2018-01-02 15:27:25.627,1658,22,"(19.076504400000001, 72.862351899999993)",1,1,1,2018,474
5,23,19.0766572,72.8621071,2018-01-02 16:03:21.963,1681,19,"(19.0766572, 72.862107100000003)",1,1,1,2018,7183
6,31,19.07643,72.8621088,2018-01-03 02:11:23.414,29267,23,"(19.076429999999998, 72.862108800000001)",2,1,1,2018,23683
7,29,19.0764353,72.8621726,2018-01-03 09:55:56.094,4094,10,"(19.0764353, 72.862172599999994)",2,1,1,2018,13239
8,24,19.0775119,72.862848,2018-01-03 13:54:42.608,71,53,"(19.077511900000001, 72.862848)",2,1,1,2018,5296
9,48,19.076654,72.8621049,2018-01-03 15:44:03.828,1248,0,"(19.076654000000001, 72.862104900000006)",2,1,1,2018,17916
10,24,19.0766214,72.8622223,2018-01-03 22:43:58.139,1832,0,"(19.076621400000001, 72.862222299999999)",2,1,1,2018,14478
11,6,19.0658056,72.8789178,2018-01-04 02:58:22.000,61,54,"(19.065805600000001, 72.878917799999996)",3,1,1,2018,315
12,20,19.0504823,72.9310753,2018-01-04 03:22:46.185,1101,5663,"(19.050482299999999, 72.931075300000003)",3,1,1,2018,661
13,41,19.0309603,73.0154246,2018-01-04 03:46:43.000,128,164,"(19.0309603, 73.015424600000003)",3,1,1,2018,6777
14,39,18.9906735,73.1219651,2018-01-04 06:41:34.474,60,66,"(18.9906735, 73.121965099999997)",3,1,1,2018,550
