index,accuracy,heading,latitude,longitude,timestamp,velocity,tdiff,geodist,location,visit_time
0,26,,19.0763369,72.9105795,2016-05-20 10:31:36.551,,0,0,"(19.0763369, 72.9105795)",10376
59,23,,19.0763688,72.9105685,2016-05-20 13:49:36.905,,1482,2,"(19.0763688, 72.9105685)",5411
82,21,,19.0763494,72.9105843,2016-05-20 15:51:52.146,,1914,3,"(19.0763494, 72.9105843)",9784
127,31,,19.0763629,72.9105739,2016-05-20 21:30:16.935,,6736,0,"(19.0763629, 72.9105739)",903
131,31,,19.0763629,72.9105739,2016-05-21 01:44:01.988,,14320,0,"(19.0763629, 72.9105739)",601
134,31,,19.0763629,72.9105739,2016-05-21 03:47:46.673,,6822,0,"(19.0763629, 72.9105739)",3991
152,26,,19.0764515,72.9105186,2016-05-21 07:42:56.447,,6728,10,"(19.0764515, 72.9105186)",631
155,28,,19.0763761,72.9105655,2016-05-21 11:51:36.206,,14288,0,"(19.0763761, 72.9105655)",601
158,25,,19.0763761,72.9105656,2016-05-21 17:52:45.395,,21067,0,"(19.0763761, 72.9105656)",709
163,29,,19.076379,72.9105661,2016-05-21 23:58:34.575,,21238,0,"(19.076379, 72.9105661)",899
167,29,,19.076379,72.9105661,2016-05-22 06:01:26.692,,20871,0,"(19.076379, 72.9105661)",665
171,25,,19.0763761,72.9105657,2016-05-22 12:10:33.004,,21480,0,"(19.0763761, 72.9105657)",601
174,24,,19.0763763,72.9105654,2016-05-22 18:06:19.948,,20744,7,"(19.0763763, 72.9105654)",870
178,24,,19.0763836,72.9105286,2016-05-23 00:03:19.882,,20549,0,"(19.0763836, 72.9105286)",606
181,26,,19.076443,72.9105188,2016-05-23 06:03:49.986,,21022,9,"(19.076443, 72.9105188)",791
187,25,,19.0764185,72.910524,2016-05-23 12:10:56.504,,21232,1,"(19.0764185, 72.910524)",600
190,34,,19.0763387,72.9106127,2016-05-23 12:43:26.092,,1348,3,"(19.0763387, 72.9106127)",2986
204,15,,19.0763359,72.9105991,2016-05-25 14:56:21.747,,4984,3,"(19.0763359, 72.9105991)",10795
267,43,,19.0762988,72.9106687,2016-05-26 04:14:38.396,,31887,21,"(19.0762988, 72.9106687)",35655
464,21,,19.0763461,72.9105811,2016-05-26 14:32:29.654,,1333,6,"(19.0763461, 72.9105811)",22029
558,22,,19.076396,72.9104962,2016-05-26 23:24:38.096,,6944,0,"(19.076396, 72.9104962)",600
560,22,,19.076396,72.9104962,2016-05-27 00:31:27.005,,3407,0,"(19.076396, 72.9104962)",4098
571,21,,19.0763634,72.9105927,2016-05-27 03:13:40.401,,2225,13,"(19.0763634, 72.9105927)",1875
585,41,191.0,19.1071731,72.8365669,2016-05-27 04:35:18.000,,2586,7915,"(19.1071731, 72.8365669)",2158
592,34,141.0,19.1069606,72.8367384,2016-05-27 08:56:51.891,,13533,52,"(19.1069606, 72.8367384)",1289
607,25,,19.0762787,72.9105249,2016-05-27 10:41:27.944,,185,592,"(19.0762787, 72.9105249)",16979
726,37,,19.0980656,72.9164786,2016-05-27 17:27:32.292,,1620,21,"(19.0980656, 72.9164786)",2262
739,11,,19.0980234,72.9171659,2016-05-27 18:25:35.000,,1218,37,"(19.0980234, 72.9171659)",1156
745,37,,19.09801,72.9164477,2016-05-27 19:15:29.968,,1837,60,"(19.09801, 72.9164477)",31527
878,40,,19.0980105,72.9164469,2016-05-28 04:31:50.154,,1811,0,"(19.0980105, 72.9164469)",1345
885,42,,19.0980103,72.9164476,2016-05-28 05:18:45.579,,1467,0,"(19.0980103, 72.9164476)",5644
913,36,,19.0763117,72.9105556,2016-05-28 07:18:58.602,,312,293,"(19.0763117, 72.9105556)",14612
975,25,,19.0763772,72.9105438,2016-05-28 11:59:50.028,,2214,12,"(19.0763772, 72.9105438)",29049
1111,33,,19.0763492,72.9106036,2016-05-29 03:19:26.642,,26068,1,"(19.0763492, 72.9106036)",5560
1152,9,277.0,19.0338755,73.0193756,2016-05-29 05:44:06.375,0.0,514,93,"(19.0338755, 73.0193756)",1876
1162,6,106.0,19.0239825,73.0235048,2016-05-29 06:18:58.503,,211,1178,"(19.0239825, 73.0235048)",6055
1204,11,319.0,19.0764579,72.9108628,2016-05-29 10:35:46.535,,120,415,"(19.0764579, 72.9108628)",18561
1301,31,,19.0763071,72.9105562,2016-05-29 16:35:05.191,,2958,3,"(19.0763071, 72.9105562)",10061
1354,30,,19.0763907,72.910542,2016-05-29 20:03:55.003,,2449,2,"(19.0763907, 72.910542)",941
1360,39,,19.076373,72.9105158,2016-05-30 02:38:41.620,,11925,55,"(19.076373, 72.9105158)",28993
1474,22,,19.0763556,72.9105825,2016-05-30 12:47:44.030,,3236,5,"(19.0763556, 72.9105825)",2584
1511,40,,19.0760641,72.9105073,2016-05-30 17:42:34.000,,80,76,"(19.0760641, 72.9105073)",7470
1556,26,,19.076438,72.9104696,2016-05-30 21:21:41.748,,2546,1,"(19.076438, 72.9104696)",4288
1574,26,,19.0764371,72.9104801,2016-05-31 01:12:45.696,,9567,3,"(19.0764371, 72.9104801)",603
1576,24,,19.0764324,72.9104607,2016-05-31 02:32:22.774,,4174,2,"(19.0764324, 72.9104607)",26077
1732,24,,19.0764237,72.9103985,2016-05-31 10:08:49.911,,1242,8,"(19.0764237, 72.9103985)",30457
1953,39,,19.0763998,72.9105355,2016-05-31 19:37:20.878,,1508,0,"(19.0763998, 72.9105355)",908
1958,25,,19.0763966,72.9104688,2016-06-01 02:45:27.122,,21850,9,"(19.0763966, 72.9104688)",886
1961,22,,19.0764264,72.9104936,2016-06-01 05:12:06.676,,3400,6,"(19.0764264, 72.9104936)",15653
2042,20,,19.0763779,72.9105671,2016-06-01 10:23:51.576,,180,96,"(19.0763779, 72.9105671)",27126
2163,26,,19.0763762,72.9105254,2016-06-01 18:29:11.291,,1935,4,"(19.0763762, 72.9105254)",6009
2178,26,,19.0763762,72.9105254,2016-06-01 22:40:07.385,,5471,0,"(19.0763762, 72.9105254)",600
2181,26,,19.0763762,72.9105254,2016-06-02 00:43:58.532,,6830,0,"(19.0763762, 72.9105254)",11541
